"","DistNo.","nX","P2","Q","TruROP","Method","Mean"
"372","16","12","0.99","940","706.977940640558","boot","418.213610615087"
"373","16","24","0.8","187","40.2471886463987","boot","568.33389847244"
"374","16","24","0.85","253","42.3366530143167","boot","572.658729481883"
"375","16","24","0.9","380","53.8408785916683","boot","571.604871318024"
"376","16","24","0.95","440","699.77830052895","boot","574.886015137259"
"377","16","24","0.98","780","704.518153304893","boot","572.099031783997"
"378","16","24","0.99","940","706.977940640558","boot","575.500474213725"
"379","16","30","0.8","187","40.2471886463987","boot","583.004200443327"
"380","16","30","0.85","253","42.3366530143167","boot","580.955712798167"
"381","16","30","0.9","380","53.8408785916683","boot","582.055196014431"
"382","16","30","0.95","440","699.77830052895","boot","583.040816055965"
"383","16","30","0.98","780","704.518153304893","boot","584.963830913895"
"384","16","30","0.99","940","706.977940640558","boot","585.090926101894"
"385","17","7","0.8","18","119.065627437007","boot","119.717018485069"
"386","17","7","0.85","25","121.863808743539","boot","119.688321356962"
"387","17","7","0.9","38","125.179269506397","boot","119.710840326082"
"388","17","7","0.95","44","129.925419366734","boot","120.253551255708"
"389","17","7","0.98","78","135.117961095513","boot","120.432748467848"
"390","17","7","0.99","94","138.491172653018","boot","120.689556623902"
"391","17","12","0.8","18","119.065627437007","boot","125.43595419213"
"392","17","12","0.85","25","121.863808743539","boot","125.33723428516"
"393","17","12","0.9","38","125.179269506397","boot","125.344334940783"
"394","17","12","0.95","44","129.925419366734","boot","126.012028740254"
"395","17","12","0.98","78","135.117961095513","boot","126.359366437175"
"396","17","12","0.99","94","138.491172653018","boot","126.673990446815"
"397","17","24","0.8","18","119.065627437007","boot","127.98164625156"
"398","17","24","0.85","25","121.863808743539","boot","127.834361079058"
"399","17","24","0.9","38","125.179269506397","boot","127.833565422074"
"400","17","24","0.95","44","129.925419366734","boot","129.035008442799"
"401","17","24","0.98","78","135.117961095513","boot","129.633802274771"
"402","17","24","0.99","94","138.491172653018","boot","130.175790703826"
"403","17","30","0.8","18","119.065627437007","boot","128.077808138657"
"404","17","30","0.85","25","121.863808743539","boot","127.949508084335"
"405","17","30","0.9","38","125.179269506397","boot","127.8980296327"
"406","17","30","0.95","44","129.925419366734","boot","129.24113381193"
"407","17","30","0.98","78","135.117961095513","boot","129.879798527441"
"408","17","30","0.99","94","138.491172653018","boot","130.546510623368"
"409","18","7","0.8","31","134.157631595866","boot","134.382666038057"
"410","18","7","0.85","42","137.234210082744","boot","134.460836202797"
"411","18","7","0.9","63","140.863224800173","boot","134.33688047363"
"412","18","7","0.95","73","145.876700529871","boot","134.990851756483"
"413","18","7","0.98","130","151.22510827789","boot","135.207180886342"
"414","18","7","0.99","156","154.694825155663","boot","135.463015812931"
"415","18","12","0.8","31","134.157631595866","boot","139.784279527928"
"416","18","12","0.85","42","137.234210082744","boot","139.783956407353"
"417","18","12","0.9","63","140.863224800173","boot","139.700654413539"
"418","18","12","0.95","73","145.876700529871","boot","140.51214813326"
"419","18","12","0.98","130","151.22510827789","boot","140.860914651879"
"420","18","12","0.99","156","154.694825155663","boot","141.135619603622"
"421","18","24","0.8","31","134.157631595866","boot","143.935286439726"
"422","18","24","0.85","42","137.234210082744","boot","143.8587932848"
"423","18","24","0.9","63","140.863224800173","boot","143.868328916697"
"424","18","24","0.95","73","145.876700529871","boot","145.153261745922"
"425","18","24","0.98","130","151.22510827789","boot","145.626898219758"
"426","18","24","0.99","156","154.694825155663","boot","146.203250520653"
"427","18","30","0.8","31","134.157631595866","boot","144.442794030175"
"428","18","30","0.85","42","137.234210082744","boot","144.361861546609"
"429","18","30","0.9","63","140.863224800173","boot","144.369888265092"
"430","18","30","0.95","73","145.876700529871","boot","145.806154179319"
"431","18","30","0.98","130","151.22510827789","boot","146.411259094859"
"432","18","30","0.99","156","154.694825155663","boot","147.053792637504"
"433","19","7","0.8","46","151.464440641035","boot","149.329823013551"
"434","19","7","0.85","63","153.763862356988","boot","149.532208074839"
"435","19","7","0.9","95","156.461110325412","boot","149.48562092904"
"436","19","7","0.95","110","160.203033626478","boot","150.03489807991"
"437","19","7","0.98","195","164.210205572965","boot","150.183471615957"
"438","19","7","0.99","235","166.797083517921","boot","150.4484887698"
"439","19","12","0.8","46","151.464440641035","boot","156.158972045006"
"440","19","12","0.85","63","153.763862356988","boot","156.103842673518"
"441","19","12","0.9","95","156.461110325412","boot","156.106283327395"
"442","19","12","0.95","110","160.203033626478","boot","156.786063745203"
"443","19","12","0.98","195","164.210205572965","boot","157.065923444043"
"444","19","12","0.99","235","166.797083517921","boot","157.349875740132"
"445","19","24","0.8","46","151.464440641035","boot","157.931320612966"
"446","19","24","0.85","63","153.763862356988","boot","157.894369383118"
"447","19","24","0.9","95","156.461110325412","boot","157.866771975361"
"448","19","24","0.95","110","160.203033626478","boot","159.009287992494"
"449","19","24","0.98","195","164.210205572965","boot","159.506131513449"
"450","19","24","0.99","235","166.797083517921","boot","160.05583299466"
"451","19","30","0.8","46","151.464440641035","boot","158.62177132925"
"452","19","30","0.85","63","153.763862356988","boot","158.539000414037"
"453","19","30","0.9","95","156.461110325412","boot","158.510824171864"
"454","19","30","0.95","110","160.203033626478","boot","159.85048068571"
"455","19","30","0.98","195","164.210205572965","boot","160.468437331143"
"456","19","30","0.99","235","166.797083517921","boot","161.092927378399"
"457","20","7","0.8","18","115.881309547089","boot","116.5688122061"
"458","20","7","0.85","25","118.188051072773","boot","116.575348144607"
"459","20","7","0.9","38","121.050214070076","boot","116.536072038319"
"460","20","7","0.95","44","125.212875702924","boot","117.185645315795"
"461","20","7","0.98","78","129.801135556467","boot","117.394422749523"
"462","20","7","0.99","94","132.858683413945","boot","117.662856638153"
"463","20","12","0.8","18","115.881309547089","boot","121.042943179454"
"464","20","12","0.85","25","118.188051072773","boot","120.968181638488"
"465","20","12","0.9","38","121.050214070076","boot","120.941880193225"
"466","20","12","0.95","44","125.212875702924","boot","121.756088862182"
"467","20","12","0.98","78","129.801135556467","boot","122.108686712127"
